epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.074,1.06666,2.11175,1.4858,0.75686,0.96667,0.94231,0.76794,1.04913,0.59805,1.09938,0,0,0
2,103.039,0.88509,1.81342,1.22545,0.75598,0.96667,0.94231,0.76963,1.04971,0.60101,1.10078,1.17822e-06,1.17822e-06,1.17822e-06
3,139.181,1.016,2.06824,1.43363,0.74586,0.96667,0.94065,0.75371,1.04565,0.60012,1.09953,2.33288e-06,2.33288e-06,2.33288e-06
4,172.983,0.91587,1.85492,1.23925,0.75078,0.96667,0.9682,0.75869,1.05401,0.60409,1.10218,3.46397e-06,3.46397e-06,3.46397e-06
5,201.265,0.96554,1.58694,1.4415,0.74223,0.96667,0.96703,0.75284,1.0625,0.60372,1.10692,4.5715e-06,4.5715e-06,4.5715e-06
6,235.172,1.34088,4.14384,1.83655,0.74272,0.96667,0.96689,0.75275,1.05679,0.60255,1.10506,5.65548e-06,5.65548e-06,5.65548e-06
7,260.513,0.88442,1.00887,1.30331,0.73551,0.96667,0.96674,0.75269,1.05348,0.60533,1.10451,6.71588e-06,6.71588e-06,6.71588e-06
8,286.375,1.00509,1.63224,1.42879,0.72786,0.96667,0.96702,0.74754,1.05331,0.60095,1.10743,7.75273e-06,7.75273e-06,7.75273e-06
9,320.618,0.72616,1.25839,1.1747,0.73293,0.96667,0.96702,0.74712,1.04368,0.6044,1.10421,8.76602e-06,8.76602e-06,8.76602e-06
10,362.142,1.00354,1.5413,1.45572,0.73345,0.96667,0.96737,0.7472,1.03477,0.60199,1.10125,9.75574e-06,9.75574e-06,9.75574e-06
11,411.766,0.89366,1.26508,1.22683,0.75011,0.96667,0.96737,0.74719,1.02366,0.60734,1.09806,1.07219e-05,1.07219e-05,1.07219e-05
12,449.351,0.85752,0.84128,1.28665,0.77765,0.96667,0.96721,0.74426,1.01194,0.61516,1.09527,1.16645e-05,1.16645e-05,1.16645e-05
13,479.133,0.66023,1.00072,0.98936,0.79728,0.96667,0.96722,0.74422,1.00712,0.62996,1.09322,1.25835e-05,1.25835e-05,1.25835e-05
14,507.152,0.99912,1.0426,1.47286,0.80501,0.96355,0.96721,0.75085,1.00064,0.64155,1.09225,1.3479e-05,1.3479e-05,1.3479e-05
15,535.215,0.5962,0.5557,1.00088,0.81773,0.94062,0.96706,0.74557,1.00221,0.66711,1.09399,1.43509e-05,1.43509e-05,1.43509e-05
16,566.021,0.82529,0.8693,1.39361,0.81905,0.95784,0.96705,0.74561,1.00399,0.69192,1.09422,1.51993e-05,1.51993e-05,1.51993e-05
17,595.325,0.55814,0.49886,0.99685,0.69368,0.96667,0.96709,0.74549,1.01628,0.72369,1.099,1.60241e-05,1.60241e-05,1.60241e-05
18,630.219,0.67286,0.54993,1.04871,0.69368,0.96667,0.96709,0.74549,1.01628,0.72369,1.099,1.68253e-05,1.68253e-05,1.68253e-05
19,663.193,0.66228,0.65211,0.98022,0.61732,0.96667,0.96712,0.74664,1.0366,0.75799,1.10642,1.7603e-05,1.7603e-05,1.7603e-05
20,707.809,0.64197,0.66963,1.10001,0.61732,0.96667,0.96712,0.74664,1.0366,0.75799,1.10642,1.83571e-05,1.83571e-05,1.83571e-05
21,758.553,0.74962,1.02778,1.25623,0.58365,0.96667,0.96713,0.74676,1.04882,0.77294,1.11132,1.90876e-05,1.90876e-05,1.90876e-05
